sex herdyear abattoir classifier herd age ageQuadrat yearsaison breedcomb prodsystem calfcull controlcull ageVK slaughterCategory branding cccn ccco ccan ccas ccao ccvn ccvo cwcn cwco cwan cwas cwao cwvn cwvo cfcn cfco cfan cfas cfao cfvn cfvo cacn caco caan caas caao cavn cavo Effekt_HeterosisSumHet Effekt_RekombinationSumRec
3 5 3 4 7 373 139129 2 12 1 0 0 0 RG conventional 0 0 0 0 6 0 0 0 0 0 0 2.34 0 0 0 0 0 0 4 0 0 0 0 0 0 3.73 0 0 1 1
3 5 3 8 7 282 79524 3 12 1 0 0 0 RG conventional 0 0 0 0 5 0 0 0 0 0 0 1.93 0 0 0 0 0 0 4 0 0 0 0 0 0 2.82 0 0 1 1
3 5 3 10 7 360 129600 4 20 1 0 0 0 RG conventional 0 0 0 0 5 0 0 0 0 0 0 2.58 0 0 0 0 0 0 4 0 0 0 0 0 0 3.60 0 0 6 2
1 5 3 8 7 258 66564 3 13 1 0 0 0 OB conventional 0 0 0 0 5 0 0 0 0 0 0 2.37 0 0 0 0 0 0 3 0 0 0 0 0 0 2.58 0 0 6 2
3 5 3 10 7 325 105625 4 11 1 0 0 0 RG conventional 0 0 0 0 5 0 0 0 0 0 0 2.29 0 0 0 0 0 0 4 0 0 0 0 0 0 3.25 0 0 3 4
1 9 1 1 19 403 162409 1 12 1 0 0 0 MT conventional 0 0 0 0 6 0 0 0 0 0 0 3.01 0 0 0 0 0 0 2 0 0 0 0 0 0 4.03 0 0 1 1
1 13 1 12 20 380 144400 3 21 1 0 0 0 MT conventional 0 0 0 0 4 0 0 0 0 0 0 2.83 0 0 0 0 0 0 3 0 0 0 0 0 0 3.80 0 0 6 2
1 4 2 19 9 382 145924 3 22 1 0 0 0 MT conventional 0 0 0 0 4 0 0 0 0 0 0 2.60 0 0 0 0 0 0 2 0 0 0 0 0 0 3.82 0 0 2 2
1 4 4 4 8 428 183184 2 10 1 0 0 0 MT conventional 0 0 0 0 4 0 0 0 0 0 0 3.03 0 0 0 0 0 0 3 0 0 0 0 0 0 4.28 0 0 3 5
1 4 4 6 8 445 198025 2 10 1 0 0 0 MT conventional 0 0 0 0 5 0 0 0 0 0 0 3.35 0 0 0 0 0 0 3 0 0 0 0 0 0 4.45 0 0 5 6
1 14 4 23 21 408 166464 1 11 1 0 0 0 MT conventional 0 0 0 0 6 0 0 0 0 0 0 3.00 0 0 0 0 0 0 3 0 0 0 0 0 0 4.08 0 0 3 3
1 10 7 11 5 151 22801 3 11 1 0 0 0 KV conventional 0 5 0 0 0 0 0 0 1.21 0 0 0 0 0 0 2 0 0 0 0 0 0 1.51 0 0 0 0 0 3 4
1 15 1 1 22 446 198916 2 3 1 0 0 0 MT conventional 0 0 0 0 7 0 0 0 0 0 0 3.05 0 0 0 0 0 0 3 0 0 0 0 0 0 4.46 0 0 6 4
1 11 3 13 23 417 173889 4 3 1 0 0 0 MT conventional 0 0 0 0 7 0 0 0 0 0 0 3.31 0 0 0 0 0 0 3 0 0 0 0 0 0 4.17 0 0 6 4
1 11 1 12 23 424 179776 4 3 1 0 0 0 MT conventional 0 0 0 0 7 0 0 0 0 0 0 3.29 0 0 0 0 0 0 2 0 0 0 0 0 0 4.24 0 0 6 3
1 5 1 3 24 412 169744 4 23 1 0 0 0 MT conventional 0 0 0 0 6 0 0 0 0 0 0 3.25 0 0 0 0 0 0 3 0 0 0 0 0 0 4.12 0 0 6 2
1 12 4 13 21 353 124609 4 3 1 0 0 0 MT conventional 0 0 0 0 6 0 0 0 0 0 0 3.02 0 0 0 0 0 0 4 0 0 0 0 0 0 3.53 0 0 6 2
1 6 3 8 9 442 195364 2 7 1 0 0 0 MT conventional 0 0 0 0 6 0 0 0 0 0 0 3.17 0 0 0 0 0 0 2 0 0 0 0 0 0 4.42 0 0 6 4
1 16 3 2 25 396 156816 1 22 2 0 0 0 OB 2 0 0 4 0 0 0 0 0 0 1.60 0 0 0 0 0 0 1 0 0 0 0 0 0 3.96 0 0 0 0 2 2
1 13 1 1 26 423 178929 1 3 1 0 0 0 MT conventional 0 0 0 0 6 0 0 0 0 0 0 2.83 0 0 0 0 0 0 3 0 0 0 0 0 0 4.23 0 0 6 4
1 7 3 10 16 298 88804 3 8 1 0 0 0 MT conventional 0 0 0 0 7 0 0 0 0 0 0 2.62 0 0 0 0 0 0 3 0 0 0 0 0 0 2.98 0 0 4 4
1 2 4 24 21 435 189225 2 3 1 0 0 0 MT conventional 0 0 0 0 7 0 0 0 0 0 0 3.15 0 0 0 0 0 0 4 0 0 0 0 0 0 4.35 0 0 6 2
1 17 1 19 27 145 21025 1 9 1 0 0 0 KV conventional 0 5 0 0 0 0 0 0 1.28 0 0 0 0 0 0 3 0 0 0 0 0 0 1.45 0 0 0 0 0 2 2
1 17 1 19 27 135 18225 1 9 1 0 0 0 KV conventional 0 4 0 0 0 0 0 0 1.30 0 0 0 0 0 0 3 0 0 0 0 0 0 1.35 0 0 0 0 0 2 2
1 17 1 12 27 142 20164 2 9 1 0 0 0 KV conventional 0 4 0 0 0 0 0 0 1.21 0 0 0 0 0 0 2 0 0 0 0 0 0 1.42 0 0 0 0 0 2 3
1 17 1 19 27 159 25281 2 9 1 0 0 0 KV conventional 0 4 0 0 0 0 0 0 1.31 0 0 0 0 0 0 3 0 0 0 0 0 0 1.59 0 0 0 0 0 2 2
